label,total,generated,completion,avg_per_slide
07-24,7,7,1.0,137.7
07-25,1,1,1.0,384.0
07-26,1,1,1.0,44.8
07-27,0,0,0,0
07-28,0,0,0,0
07-29,2,1,0.5,80.5
07-30,4,4,1.0,150.3
07-31,2,2,1.0,187.6
08-01,0,0,0,0
08-02,0,0,0,0
08-03,0,0,0,0
08-04,4,3,0.75,53.8
08-05,8,6,0.75,176.7
08-06,10,4,0.4,123.0
08-07,2,1,0.5,212.5
08-08,0,0,0,0
08-09,0,0,0,0
08-10,1,1,1.0,95.2
08-11,0,0,0,0
08-12,1,1,1.0,157.1
08-13,2,2,1.0,179.9
08-14,1,0,0.0,0
08-15,2,0,0.0,0
08-16,2,1,0.5,41.2
08-18,6,4,0.6667,47.2
08-17,5,3,0.6,243.3
