month,company,total,generated,completion,avg_per_slide
2026-06,アビームコンサルティング,185,161,0.8703,115.1
2026-06,CROSS Business Procuders,21,18,0.8571,76.3
2026-06,Sparticle株式会社,20,18,0.9,104.5
2026-06,テスト会社,5,4,0.8,73.0
2026-06,清水建設株式会社,5,5,1.0,175.3
2026-06,Daio Paper Corporation,3,3,1.0,54.8
2026-06,株式会社博報堂DY ONE,2,2,1.0,122.6
2026-06,桜美林大学,2,0,0.0,0
2026-06,lobiw47332@fun4k.com,1,1,1.0,326.0
2026-06,デンセイシリウス株式会社,1,1,1.0,46.7
2026-06,トーンテック株式会社,1,1,1.0,74.6
2026-06,加賀電子,1,1,1.0,41.0
2026-06,藤生商会,1,1,1.0,47.3
2026-07,アビームコンサルティング,64,58,0.9062,125.3
2026-07,CROSS Business Procuders,29,27,0.931,118.5
2026-07,Sparticle株式会社,11,8,0.7273,79.8
2026-07,流通経済研究所,8,7,0.875,61.3
2026-07,SPT中和FDE,6,6,1.0,92.7
2026-07,テスト会社,3,3,1.0,113.7
2026-07,Daio Paper Corporation,2,2,1.0,66.2
2026-07,清水建設株式会社,2,1,0.5,235.0
2026-07,藤生商会,2,2,1.0,106.6
2026-07,株式会社サンワ金型,1,1,1.0,67.3
2026-07,株式会社ドリームズ,1,1,1.0,39.7
2026-08,アビームコンサルティング,19,10,0.5263,142.1
2026-08,CROSS Business Procuders,9,3,0.3333,169.6
2026-08,Sparticle株式会社,4,4,1.0,229.4
2026-08,藤生商会,4,3,0.75,63.5
2026-08,流通経済研究所,2,2,1.0,62.4
2026-08,トーンテック株式会社,1,0,0.0,0
2026-08,清水建設株式会社,1,0,0.0,0
