label,total,generated,completion,avg_per_slide
02-23週,120,120,1.0,71.8
03-02週,110,110,1.0,74.2
03-09週,70,70,1.0,91.1
03-16週,49,40,0.8163,51.5
03-23週,34,28,0.8235,81.1
03-30週,39,37,0.9487,57.2
04-06週,76,74,0.9737,65.9
04-13週,57,52,0.9123,71.3
04-20週,18,17,0.9444,88.0
04-27週,21,19,0.9048,41.5
05-04週,29,28,0.9655,57.7
05-11週,64,51,0.7969,77.2
05-18週,48,37,0.7708,98.0
05-25週,21,16,0.7619,64.3
06-01週,84,73,0.869,98.1
06-08週,65,59,0.9077,111.7
06-15週,46,39,0.8478,137.4
06-22週,42,37,0.881,118.0
06-29週,51,43,0.8431,88.0
07-06週,36,32,0.8889,129.9
07-13週,23,19,0.8261,113.9
07-20週,20,20,1.0,121.3
07-27週,10,8,0.8,120.8
08-03週,24,13,0.5417,146.6
08-10週,9,5,0.5556,143.1
08-17週,17,10,0.5882,131.8
